row_id,context_dialect,continuation_dialect,combo,context_text,continuation_text,n_ctx_tokens,n_cont_tokens,avg_nll_cont,log_ppl_cont,ppl_cont
15,SAE,SAE,SAE_SAE,Call up to this,"school , I should have never taken myself to college . Forget that .",5.0,0.0,,,
15,AAE,SAE,AAE_SAE,""" Call up 2","school , I should have never taken myself to college . Forget that .",6.0,0.0,,,
24,SAE,SAE,SAE_SAE,"Man , if one","more of my tweets gets sent to drafts , I ’ m going to be mad !",5.0,0.0,,,
24,SAE,AAE,SAE_AAE,"Man , if one",more of my tweets get send to draft imma be mad ! ! !,5.0,0.0,,,
24,AAE,SAE,AAE_SAE,man if one,"more of my tweets gets sent to drafts , I ’ m going to be mad !",4.0,0.0,,,
24,AAE,AAE,AAE_AAE,man if one,more of my tweets get send to draft imma be mad ! ! !,4.0,0.0,,,
27,SAE,SAE,SAE_SAE,My pastor is amazing,"today ! We are diving in ! Preach , ! I ’ m completely committed !",7.0,0.0,,,
27,AAE,SAE,AAE_SAE,My Pastor is off the,"today ! We are diving in ! Preach , ! I ’ m completely committed !",7.0,0.0,,,
33,SAE,SAE,SAE_SAE,Today was a great day to,be an American ! And being African American made the occasion even more meaningful . # ProudBlackMan,7.0,0.0,,,
34,SAE,SAE,SAE_SAE,Anyone who left their,animal outside tonight should have to go out there with them . # CruelPeople,5.0,0.0,,,
34,SAE,AAE,SAE_AAE,Anyone who left their,animal outside tonight should be made to go out there with them . # CruelPeople,5.0,0.0,,,
34,AAE,SAE,AAE_SAE,Anyone that left their,animal outside tonight should have to go out there with them . # CruelPeople,5.0,0.0,,,
34,AAE,AAE,AAE_AAE,Anyone that left their,animal outside tonight should be made to go out there with them . # CruelPeople,5.0,0.0,,,
43,SAE,SAE,SAE_SAE,Was that supposed to be a joke ? That was not funny,! Better luck next time : - ),15.0,0.0,,,
44,SAE,SAE,SAE_SAE,"Relationships are what you make them , so don ’ t be so difficult about things and your relationships",will last longer .,22.0,0.0,,,
44,SAE,AAE,SAE_AAE,"Relationships are what you make them , so don ’ t be so difficult about things and your relationships",last longer .,22.0,0.0,,,
44,AAE,SAE,AAE_SAE,Relationships r wut u make it so dont be such a bitch about thing and relationships will,will last longer .,22.0,0.0,,,
44,AAE,AAE,AAE_AAE,Relationships r wut u make it so dont be such a bitch about thing and relationships will,last longer .,22.0,0.0,,,
45,SAE,AAE,SAE_AAE,The next time I ’ m in,JA I guess unless you ' re planning a trip to NYC in the near future ? !,8.0,0.0,,,
45,AAE,AAE,AAE_AAE,next time I ' m in,JA I guess unless you ' re planning a trip to NYC in the near future ? !,7.0,0.0,,,
56,SAE,AAE,SAE_AAE,There are going to be a,headlights on this cold am the big nipples are out,7.0,0.0,,,
56,AAE,AAE,AAE_AAE,its gonna be alot of,headlights on this cold am the big nipples are out,8.0,0.0,,,
71,SAE,SAE,SAE_SAE,I can see that,working with him will guarantee that I get out of work late every time .,5.0,0.0,,,
71,SAE,AAE,SAE_AAE,I can see that,working with dude will guarantee me out of work late every time .,5.0,0.0,,,
71,AAE,SAE,AAE_SAE,I can see,working with him will guarantee that I get out of work late every time .,4.0,0.0,,,
71,AAE,AAE,AAE_AAE,I can see,working with dude will guarantee me out of work late every time .,4.0,0.0,,,
99,SAE,SAE,SAE_SAE,About to watch this movie,and wait for my boyfriend to finish getting his hair done .,6.0,0.0,,,
99,SAE,AAE,SAE_AAE,About to watch this movie,and wait for the bae to finish getting his hair done,6.0,0.0,,,
99,AAE,SAE,AAE_SAE,Finna watch this movie,and wait for my boyfriend to finish getting his hair done .,6.0,0.0,,,
99,AAE,AAE,AAE_AAE,Finna watch this movie,and wait for the bae to finish getting his hair done,6.0,0.0,,,
111,SAE,SAE,SAE_SAE,"Now that I have left school , my attitude is better",now and thank God .,12.0,0.0,,,
111,SAE,AAE,SAE_AAE,"Now that I have left school , my attitude is better",one n # thank god,12.0,0.0,,,
111,AAE,SAE,AAE_SAE,Now dat I left school my attitude is now a good,now and thank God .,12.0,0.0,,,
