aae_text,distilbert_score,vader_score,textblob_score
Bitch cant get shit from me but bubble gum nd hard dick from me told da bitch im tryna make a flip im shootin dice wit er rent money !,-0.9946956038475037,-0.9182,-0.2822916666666667
yes that's what's up. Nothin like getting dressed up and getting some culture man.,0.998319685459137,0.6369,0.0
Mixed huh !? Those black ass knees and elbows will give you away every time lol,0.8258041739463806,-0.2481,0.21111111111111114
"""  #FIGHT. People ask what do you want to be when you grow up? let's ask what did God call you to be?""",-0.9878833889961243,-0.3167,0.0
The bul Mike James from  ain't shit n he dumb as shit. #nba #dallasmavs,-0.9857254028320312,-0.6093,-0.2583333333333333
It took for a whole stranger to tell me he PROUD of what I'm doing n how I'm fighting for my babies!!!,0.9977002739906311,0.4954,0.6
I'm the type that would walk thru the fire to check the way it burn!!!,0.9031507968902588,-0.5067,0.0
yall pick on my jacket knowing damn well it was too small !!,-0.9990682005882263,-0.2924,-0.390625
I want sumthn that's gonna last a life time when sumone ask how long we been together I wanna say over 30 years,-0.9908603429794312,0.0772,-0.025
Don't play wit my feelings your liable to get your ass whooped or shot if u a nigga,-0.9994339346885681,-0.6742,-0.1
""": Except for track & school, I don't do shit with my life. Loser :P""",-0.6322484612464905,-0.122,0.275
"""hell yeah just got that sane text lmao : Phone bill due in 3 days, DAMN!""",-0.9951971173286438,-0.4981,0.221875
whooping bitch?  I miss yall lol : People In My 6 Period Ugh <<<<<< Stfu Dumb Bitch!,-0.999133288860321,-0.9151,0.16562500000000002
"""so icy hip hop,  Waka flock music . . I dont need no metaphor this is real music!""",-0.6614241003990173,0.2914,0.075
""" U r an awesome man, thank u 4 being so great & taking care of me. U r truly gifted w/the blessings of God & I love u so much!""",0.999882698059082,0.9818,0.61
"""Call up 2 diz skool, I should have never took my ass 2 college fuck that shit""",-0.9944361448287964,-0.6428,-0.30000000000000004
Lol cos I ain't got No friends and everybody I need be next to me Lol.,-0.9948609471321106,0.775,0.5333333333333333
"""Headed to work sick not feeling good , tired & alot of things on my mind like ugh""",-0.9996693134307861,-0.851,-0.13809523809523813
"""Loved da tyme i spent wit my guy dat fool kno he kept me laughing i guess thtz,all tht matters""",0.5298746228218079,0.6486,0.3
Should istay or should igo bt no matter how hard itry i cant walk away,-0.9949243068695068,-0.1215,-0.2916666666666667
See the moral of the story is everybody done had somebody that they ah run bck too,-0.9957791566848755,0.0,0.0
Swear iCut Everybody Off But These Tha Type Of Games You Choose To Play  Bet That Up,-0.9931555390357971,0.4588,0.0
As Much As iWanted Him In Ha Life iJust Cant Keep Letting Him Run In &' Out Of Ha Life,-0.9824678301811218,0.5859,0.2
"""Lately I began to feel amazing about this new energy I feel , I'm never going back to my old self!""",0.9980521202087402,0.7345,0.1122727272727273
man if one more of my tweets get send to draft imma be mad !!!,-0.9993853569030762,-0.6219,-0.25
Black Eyed Peas show NO MERCY when they do what they do...Thank God I work outside ALONE. LOL!,-0.9504317045211792,-0.2425,0.2777777777777778
For all of you that needed some WINTER WEATHER...ENJOY!  The rest of us will just ride it out. Yall SNOW people just SAT DOWN AND HUSH!!,0.9963060617446899,0.0,-0.24305555555555558
My Pastor is off the Chain Today!! We are plunging in!! Preach !! I'M ALL IN!!,0.994769275188446,0.0,0.0
Spend less time focusing on what you did wrong and more time focusing on how to never let it happen again.,-0.9807581901550293,-0.4767,-0.055555555555555546
Dont worry....we all have our struggles.  So stop trying to put mine on Display before I kick your closet door open.,-0.9961771965026855,-0.656,0.0
